kategori,judul,deskripsi,penulis,tanggal
BUSINESS,"5 ways to build innovation cultures at work, according to Hewlett Packard Enterprise's CTO",Key structures support the most innovative teams. HPE’s CTO Fidelma Russo shares concrete ways to build an effective innovation culture.,Andrea Willige,"August 10, 2024"
"RESILIENCE, PEACE AND SECURITY",Sudan: Learning lessons from the past in search of peace,"For civil war ceasefire talks in Geneva to succeed in alleviating the suffering of the Sudanese people, negotiators must learn lessons from the past.",Mohamed Elshabik,"August 9, 2024"
HEALTH AND HEALTHCARE SYSTEMS,Innovative mouth-based touchpad enables people living with paralysis to interact with computers,"MouthPad enables paralyzed individuals to control computers using tongue and head movements, improving accessibility and fostering independence.",Zach Winn,"August 9, 2024"
FINANCIAL AND MONETARY SYSTEMS,"US jobless claims fall, easing market fears and other economics stories to read",Top economy stories: US recession fears abate as jobless claims fall; China's unexpected CPI rise; German manufacturing sees first rise in 6 months.,Rebecca Geldard and Joe Myers,"August 9, 2024"
FINANCIAL AND MONETARY SYSTEMS,"From Lagos to Abidjan: 1,000km of entrepreneurial energy in need of better digital payments",An improved digital payments framework along the West African corridor would boost financial inclusion – and benefit women traders in particular,Moustapha Mamy Diaby and Cynthia Gnassingbe,"August 9, 2024"
CYBERSECURITY,"CrowdStrike IT outage report released, and other cybersecurity news to know this month",Top cybersecurity news: CloudStrike outage analysis released; US infrastructure vulnerable to cyber attacks; Men still dominate UK cyber industry.,Akshay Joshi,"August 9, 2024"
GEO-ECONOMICS AND POLITICS,5 things you need to know about geopolitics in a fractured world,"From global trade to elections, 2024 is proving to be a geopolitically impactful year – here’s everything you need to know about the shifting global order.",Simon Torkington,"August 9, 2024"
HEALTH AND HEALTHCARE SYSTEMS,This is how you can reduce your risk of getting dementia,People at higher genetic risk of dementia can reduce their chances of developing the neurological condition if they follow eight habits for healthy living.,Simon Read,"August 9, 2024"
BUSINESS,Why competitive advantage is about more than just performance,Competitive advantage isn't just about profits. It includes the value shared with stakeholders like employees – a holistic view of true value creation.,Jeroen Neckebrouck,"August 8, 2024"
SUSTAINABLE DEVELOPMENT,"Why Asia-Pacific must accelerate action against climate change, poverty and hunger",Asia-Pacific is faltering progress in cutting poverty and hunger amid severe climate-related hazards. Here's why collaboration is key to meeting the SDGs.,"Armida Salsiah Alisjahbana, Woochong Um and Kanni Wignaraja","August 8, 2024"
CLIMATE ACTION,More than 70% of the global workforce is at risk from severe heat – report,The United Nations says 2.4 billion people are at risk from extreme heat. Severe heat waves caused by global warming can be a silent killer.,Simon Torkington,"August 8, 2024"
NATURE AND BIODIVERSITY,How climate change affects youth mental health in Pakistan,"The economic and physical impacts of climate change are clear, but Pakistan’s population is experiencing often overlooked mental health ramifications too.",Henna Hundal and Sikander Bizenjo,"August 8, 2024"
ENERGY TRANSITION,The energy transition is creating a historic materials transition. Here's why,The global materials market is set for a historic shift — a materials transition — as it adjusts to facilitate the energy transition. Here's what to know.,Musaab Almulla,"August 7, 2024"
GEOGRAPHIES IN DEPTH,Colombia's digital inclusion strategy is bolstering financial inclusion — especially for women,"Colombia's digital inclusion strategy is bolstering financial inclusion, especially for women. Here's how — and why a whole-of-government approach is key.",Camilo Tellez-Merchan and Gisela Davico,"August 7, 2024"
